Name,Link,Creator
thumbs-up,https://www.freepik.com/free-photo/portrait-fair-haired-beautiful-female-woman-with-broad-smile-thumbs-up_9116647.htm,cookie_studio
sad-man,https://www.freepik.com/free-photo/depressed-young-spanish-male-sitting-chair-leaning-his-head-against-wall_22860234.htm,wirestock
claws,https://www.freepik.com/free-photo/young-beautiful-woman-wearing-casual-clothes-doing-claw-gesture-as-cat_14265327.htm,azerbaijan_stockers,on Freep
laughing-couple,https://www.freepik.com/free-photo/young-couple-wearing-blank-shirt_23992148.htm,Freepik
by-the-sea,https://www.freepik.com/free-photo/sad-couple-sitting-together-outdoors_47698002.htm,Freepik
arguing,https://www.freepik.com/free-photo/young-couple-having-argument-conflict-bad-relationships-angry-fury-woman-angry-young-couple-sit-couch-living-room-having-family-fight-quarrel-suffer-from-misunderstanding_28871200.htm,stefamerpik
enjoying-the-sun,https://www.freepik.com/free-photo/carefree-asian-girl-laughing-dancing-park-enjoying-summer-sunny-day-raising-hands-up-brea_34636189.htm,benzoix
piggyback,https://www.freepik.com/free-photo/excited-man-black-denim-jacket-chilling-with-girlfriend-outdoor-portrait-happy-couple-exploring-city_12152891.htm,lookstudio
back-off,https://www.freepik.com/free-photo/young-hispanic-woman-working-small-business-ecommerce-moving-away-hands-palms-showing-refusal-denial-with-afraid-disgusting-expression-stop-forbidden_39467467.htm,krakenimages.com
handshake,https://www.freepik.com/free-photo/happy-coworkes-shaking-hands-after-business-presentation-office_26390827.htm,Drazen Zigic
tablet,https://www.freepik.com/free-photo/young-hispanic-woman-using-touchpad-sitting-table-night-depressed-worry-distress-crying-angry-afraid-sad-expression_60413697.htm,krakenimages.com
happy-man,https://www.freepik.com/free-photo/portrait-smiling-african-man-living-room_17293810.htm,gpointstudio
sad-woman,https://www.freepik.com/free-photo/young-depressed-adult-home_29973199.htm,Freepik
business,https://www.freepik.com/free-photo/working-businessman_5633753.htm,pressfoto
pain,https://www.freepik.com/free-photo/young-annoyed-blonde-office-worker-man-headphones-sits-desk-with-office-tools-using-laptop-holds-his-back-looking-up-isolated-white-background-with-copy-space_13321390.htm,stockking
students,https://www.freepik.com/free-photo/group-young-college-students-smart-casual-wear-campus-friends-brainstorming-meeting-talking-discussing-work-ideas-new-design-project-modern-office-coworker-teamwork-startup-concept_10075812.htm,tirachardz
bills,https://www.freepik.com/free-photo/young-asian-pregnant-couple-records-income-expenses-home-mom-worried-serious-stress-while-record-budget-tax-financial-document-working-living-room-home_6141954.htm,tirachardz
bullied,https://www.freepik.com/free-photo/front-view-boy-being-bullied-by-colleague_32519170.htm,Freepik
disagreement,https://www.freepik.com/free-photo/young-colleagues-communicating-during-business-brake-office_7838570.htm,cookie_studio
grandparents,https://www.freepik.com/free-photo/cheerful-grandparents-granddaughter-having-fun-together-home_26634291.htm,Drazen Zigic
